pronom	conjugated	infinitive	form
je	fasse	faire	subjonctif
tu	fasses	faire	subjonctif
il	fasse	faire	subjonctif
nous	fassions	faire	subjonctif
vous	fassiez	faire	subjonctif
elles	fassent	faire	subjonctif
je	ferais	faire	conditionnel présent
tu	ferais	faire	conditionnel présent
elle	ferait	faire	conditionnel présent
nous	ferions	faire	conditionnel présent
vous	feriez	faire	conditionnel présent
ils	feraient	faire	conditionnel présent
je	faisais	faire	imparfait
tu	faisais	faire	imparfait
il	faisait	faire	imparfait
nous	faisions	faire	imparfait
vous	faisiez	faire	imparfait
elles	faisaient	faire	imparfait
je	fais	faire	présent
tu	fais	faire	présent
elle	fait	faire	présent
nous	faisons	faire	présent
vous	faites	faire	présent
ils	font	faire	présent
